step,reward
104,-161.47399999999985
201,50.45799999999983
277,-289.43199999999996
357,-546.3220000000001
468,-145.55799999999994
538,-859.9939999999999
608,-519.0320000000002
694,-126.9919999999999
798,-458.38899999999995
931,-899.201
993,-4.482000000000028
1077,-901.185
1172,-297.2270000000001
1266,-16.874000000000066
1347,-125.47600000000007
1464,-4.680000000000206
1587,-367.3209999999998
1697,-5.8689999999999
1790,-527.1910000000001
1910,15.00100000000009
1990,-359.71399999999994
2102,89.01299999999995
2182,-372.574
2333,-608.5620000000001
2474,-1103.935
2607,-1599.1889999999994
2753,-1264.1749999999993
2971,-1748.4459999999974
3229,-380.50599999999986
3550,-1048.9769999999987
3858,-681.8239999999997
4201,-944.1259999999982
4534,-1052.6389999999976
4900,-424.87799999999976
5115,-1202.4889999999991
5486,-1598.1359999999966
5827,-1167.9579999999983
6201,-1409.6049999999962
6609,-989.2379999999971
6911,-1386.7569999999973
7272,-1393.7369999999976
7682,-1439.6239999999964
8039,-1145.5609999999976
8423,-1387.3139999999967
8888,-1435.7299999999968
9315,-1219.2499999999973
9770,-1316.5609999999965
10196,-1554.3369999999961
10613,-1392.9359999999958
11102,-1417.3439999999948
11563,-1264.1629999999966
11978,-1153.9469999999976
12412,-1292.734999999997
12860,-1383.314999999996
13292,-1592.6309999999967
13754,-917.4009999999973
14188,-1566.022999999996
14670,-1591.9129999999952
15140,-1610.6959999999951
15597,-1756.7489999999946
16024,-1772.2819999999952
16506,-1685.7429999999956
16944,-1859.7769999999948
17435,-1764.0749999999946
17973,-1552.6889999999948
18587,-2044.1599999999894
19218,-1624.6109999999915
19722,-1596.4509999999946
20289,-1666.5199999999918
20854,-1726.9609999999896
21353,-1725.6749999999965
22041,-1723.7959999999919
22651,-1741.4899999999914
23337,-1709.1989999999932
24027,-1701.3789999999904
24702,-1651.91899999999
25392,-1842.3989999999903
26084,-1952.346999999993
26778,-1849.0629999999887
27458,-1753.1759999999856
28151,-1457.238999999992
28833,-1718.1729999999868
29511,-1522.2909999999927
30195,-2078.2379999999885
30885,-2277.0899999999924
31464,-1728.700999999998
32017,-1431.354999999996
32709,-1813.968999999991
33398,-2026.0199999999913
34088,-2033.0229999999867
34781,-1328.0429999999935
35473,-1922.3369999999945
36164,-1532.6759999999947
36848,-1925.4619999999857
37529,-1643.3859999999884
38220,-1841.8589999999938
38911,-2047.2149999999872
39603,-1682.3079999999877
40221,-1846.5579999999904
40885,-2021.8279999999872
41578,-1648.5339999999885
42264,-1842.1659999999872
42927,-1742.161999999989
43600,-1703.1889999999903
44122,-1431.0379999999946
44789,-1914.8549999999868
45475,-1988.1909999999864
46018,-1671.3009999999947
46604,-1849.7499999999918
47115,-1691.908999999994
47557,-1245.5859999999968
47979,-1605.990999999996
48418,-1506.8759999999959
48822,-1741.1009999999944
49275,-1651.985999999996
49704,-1527.1569999999958
50118,-1496.393999999996
50546,-1985.2429999999945
50966,-1589.5979999999945
51444,-1320.7909999999965
51817,-1958.1379999999938
52228,-1359.7759999999953
52669,-1475.1319999999955
53078,-1775.7899999999945
53499,-1840.590999999995
53906,-1904.4489999999948
54318,-1700.3889999999947
54754,-1709.7019999999957
55179,-1879.7709999999954
55609,-1611.6039999999957
56020,-1492.1539999999957
56450,-1920.8929999999948
56873,-1790.6049999999948
57258,-1934.2539999999942
57665,-1475.3479999999952
58103,-1485.0319999999963
58520,-1500.1069999999959
58945,-1760.5689999999959
59315,-1574.0659999999955
59655,-1631.8719999999964
59956,-1322.785999999999
60170,-1372.357
60363,-1198.43
60546,-1528.087
60724,-1431.578
60898,-1343.8039999999999
61085,-1452.2200000000003
61257,-1237.706
61482,-1360.233
61662,-1339.8790000000001
61864,-1572.6729999999998
62063,-1207.52
62219,-1436.7949999999996
62364,-1333.1999999999996
62515,-1386.2839999999997
62670,-1125.7069999999999
62786,-1624.0219999999997
63005,-1265.0069999999998
63166,-1482.048
63302,-1543.5189999999996
63457,-1558.8759999999995
63633,-1368.205
63842,-916.2979999999997
64054,-1237.135
64211,-1236.0969999999998
64404,-1266.9709999999993
64617,-1365.2489999999998
64797,-1047.456
65014,-1528.0119999999995
65183,-1073.6889999999999
65399,-1160.626
65555,-1628.5829999999996
65700,-1237.7119999999998
65850,-1253.8559999999998
66010,-1321.5379999999996
66147,-1123.6889999999996
66375,-1291.6960000000001
66541,-1419.2289999999998
66743,-1302.9019999999998
66903,-962.6769999999996
67057,-1161.9399999999998
67234,-1355.22
67431,-1013.6359999999996
67678,-932.046
67838,-1242.6609999999994
68072,-1273.2530000000002
68229,-1406.656
68421,-1431.984
68596,-1182.773
68745,-1431.5189999999998
68899,-1107.8079999999998
69046,-1572.3569999999995
69230,-1358.408
69460,-1113.9530000000002
69638,-1036.558
69826,-1258.8079999999998
69991,-1242.2689999999996
70171,-1383.369
70338,-1308.686
70473,-1261.5590000000002
