step,episode,return,loss,eval_return
500,0,279.9070000000008,0.31228330731391907,nan
1000,1,364.88599999999974,0.6390181183815002,nan
1500,2,265.8860000000005,0.32788005471229553,nan
2000,3,563.2339999999992,0.3461439609527588,nan
2500,4,729.6269999999967,0.36623913049697876,-1491.6120000000105
3000,5,728.6249999999974,0.5392308235168457,nan
3500,6,412.6310000000006,0.5568962097167969,nan
4000,7,791.2649999999973,0.42094388604164124,nan
4500,8,885.6279999999957,0.14931239187717438,nan
5000,9,741.8139999999989,0.7323185801506042,-1446.1850000000027
5500,10,638.771999999999,0.06596797704696655,nan
6000,11,1056.2959999999948,0.780723512172699,nan
6500,12,788.4139999999992,0.41733765602111816,nan
7000,13,1087.8199999999963,0.33976998925209045,nan
7500,14,575.0209999999973,0.17214947938919067,-1287.7580000000075
8000,15,1006.168999999996,0.545769989490509,nan
8500,16,956.7579999999971,0.5152859091758728,nan
9000,17,621.1639999999987,0.8322985172271729,nan
9500,18,778.4899999999969,0.0662330836057663,nan
10000,19,468.0269999999997,0.571586012840271,-798.0510000000013
10500,20,218.35000000000002,0.8404340147972107,nan
11000,21,446.1989999999999,0.5343527793884277,nan
11500,22,863.655999999997,0.870860755443573,nan
12000,23,-78.16899999999924,1.0264886617660522,nan
12500,24,167.79599999999937,0.5474481582641602,-1083.3650000000027
13000,25,452.0849999999994,0.3517128825187683,nan
13500,26,270.45600000000104,0.7181439399719238,nan
14000,27,294.6860000000002,0.5932412147521973,nan
14500,28,489.73,0.3343678116798401,nan
15000,29,724.8579999999979,0.7493898868560791,-874.0399999999966
