step,loss,mean_q,max_q
2000,12.810684204101562,6.788313388824463,42.08821105957031
4000,12.354490280151367,21.083820343017578,82.65031433105469
6000,16.54591941833496,44.4345817565918,130.44749450683594
8000,9.593586921691895,65.35029602050781,160.2691650390625
10000,17.11203956604004,91.48185729980469,225.62232971191406
12000,12.310131072998047,120.38532257080078,286.0199279785156
14000,15.605934143066406,163.25750732421875,359.20062255859375
16000,12.440265655517578,219.3734130859375,444.6524658203125
18000,13.184035301208496,275.8985900878906,535.2826538085938
20000,17.785930633544922,335.5708923339844,644.1218872070312
22000,14.766746520996094,395.3643493652344,765.2978515625
24000,24.658626556396484,458.31427001953125,823.05126953125
26000,26.8096923828125,549.369873046875,950.2345581054688
28000,35.50288772583008,620.9906005859375,1084.1947021484375
30000,27.713695526123047,677.2337036132812,1152.328857421875
